"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",11.83,5.87,7.82,6.52,2.39
"Feb",4.49,1.11,13.13,3.95,10.96
"Mar",3.74,7.17,9.45,13.51,0.12
"Apr",8.1,4.13,8.94,1.64,4.5
"May",-8.57,-10.98,5.25,8.32,-4.48
"Jun",7.53,7.51,6.54,10.52,10.82
"Jul",4.77,-10.56,-4.08,7.85,-3.6
"Aug",12.62,15.82,5.71,14.98,14
"Sep",-5.79,8.19,-13.78,-3.71,-9.23
"Oct",1.14,19.67,7.03,2.35,-1.18
"Nov",-2.66,5.96,-4.74,-3.8,-7.28
"Dec",-2.04,-3.51,-0.27,2.11,10.21
