"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",0.44,1.61,1.46,2.82,2.89
"Feb",0.62,0.1,-0.25,1.23,1.8
"Mar",1.46,1.48,1.73,2.64,2.69
"Apr",1.45,2.13,1.81,2.38,3.46
"May",1.04,1.63,2.04,2.37,2.54
"Jun",0.95,0.76,1.19,2.56,2.77
"Jul",0.68,0.48,1.1,1.92,2.71
"Aug",1.12,1.15,1.15,2.79,3.03
"Sep",0.16,1.43,1.43,2.96,3
"Oct",1.11,1.13,2.18,3.39,3.24
"Nov",1.06,1.42,1.77,2.89,3.69
"Dec",0.01,1.16,1.63,2.36,3.36
