"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-10.93,-9.59,-5.9,-7.06,-11.11
"Feb",-9.11,-7.51,-11.37,-14.48,-5.75
"Mar",-0.29,8.26,-11.29,6.1,3.86
"Apr",-16.31,3.35,-4.13,3.7,10.57
"May",0.38,-3.93,7.69,4.51,-6.58
"Jun",4.32,15.13,-5.4,14.66,14.15
"Jul",5.76,-16.55,-2.53,-5.5,19.35
"Aug",11.94,4.74,11.75,9.14,18.91
"Sep",6.77,8.74,11.78,0.04,30.49
"Oct",3.48,-4.31,-6.78,-8.32,12.78
"Nov",14.41,17.25,0.51,41.3,28.41
"Dec",19.16,5.11,13.62,6.42,4.72
