"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",7.41,-3.38,-6.63,2.05,-4.06
"Feb",15.82,9.53,-4.01,1.12,6.13
"Mar",-9.89,10.75,6,11.73,10.11
"Apr",5.51,0.43,4.45,4.18,0.35
"May",6.2,18.65,16.93,14.37,27.55
"Jun",9.49,5.7,2.05,-4.4,8.64
"Jul",16.58,20.01,40.07,17.97,21.63
"Aug",-3.9,-7.53,4.45,-0.7,3.03
"Sep",0.57,-0.01,11.21,14.72,11.62
"Oct",8.63,14.19,3.33,15.41,-3.57
"Nov",3.78,9.1,14.35,1.05,-1.28
"Dec",9.11,9.02,8.61,6.84,19.39
