"Category","SSP1-1.9","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP1-2.6","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP2-4.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP3-7.0","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP5-8.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)"
"Jan",0.44,-0.84,1.91,0.8,-0.89,2.05,0.97,-0.58,2.43,0.69,-0.65,2.06,1.07,-1.18,2.41
"Feb",0.39,-0.77,1.44,0.75,-0.36,1.88,0.89,-0.33,1.94,0.52,-0.37,1.81,0.75,-0.64,1.84
"Mar",0.71,-0.23,1.3,0.89,-0.76,1.76,0.94,0.02,1.71,0.81,0.17,1.6,1.12,0.18,1.83
"Apr",0.88,-0.49,1.94,0.73,-0.52,1.37,0.73,-0.2,1.74,0.7,-0.34,1.39,0.72,-0.17,1.75
"May",0.85,-0.48,2.6,0.7,-0.92,2.09,0.72,-0.44,2.09,0.58,-0.57,2.1,0.82,-0.43,1.86
"Jun",1.22,0.33,2.92,1.22,-0.33,2.93,0.97,-0.27,2.97,0.94,-0.15,3.01,1.1,-0.09,3.02
"Jul",1.07,-0.33,3.12,1.26,-0.18,3.84,1.04,-0.09,4.44,1.34,-0.08,3.72,1.38,-0.02,4.38
"Aug",0.94,-1.31,2.81,1.25,-0.5,3.43,1.35,-0.39,3.94,1.32,0.01,3.21,1.46,-0.01,4.35
"Sep",1.34,-1.45,2.37,1.28,-0.68,3.06,1.36,-0.55,3.36,1.04,0,2.69,1.25,-0.44,2.9
"Oct",1.46,-0.44,2.46,1.02,-0.5,2.49,1.17,-0.41,2.49,0.6,-0.29,2.14,1.09,-0.65,2.51
"Nov",1.2,0.15,2.18,0.89,-0.02,1.88,1.08,-0.28,2.07,0.65,-0.07,1.73,1.07,-0.19,2.11
"Dec",0.74,-0.85,2.36,0.78,-0.87,1.84,1.14,-0.55,2.1,0.95,-0.17,1.88,1.02,-0.24,2.26
