"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.19,2.53,2.38,2.25,4.42
"Feb",-0.05,2.02,0.93,3.67,3.09
"Mar",1.91,2.93,1.62,3.15,3.05
"Apr",0.75,1.62,1.42,2.49,2.42
"May",2.54,2.19,2.81,3.61,3.17
"Jun",1.37,1.22,2.08,3.34,2.89
"Jul",1.86,1.81,2.41,3.87,3.82
"Aug",1.68,1.6,1.98,3.21,3.84
"Sep",0.95,0.98,1.19,2.36,2.64
"Oct",1.39,1.37,1.59,2.55,2.54
"Nov",0.44,0.72,0.42,0.78,1.59
"Dec",-0.35,1.02,0.57,2.29,1.61
