"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-1.62,-2.25,4.87,2.05,-3.07
"Feb",-0.3,-2.39,0.75,1.33,-2.04
"Mar",16.5,6.27,7.35,10.6,5.81
"Apr",11.66,22.65,21.21,26.66,21.38
"May",-1.98,-7.15,3.86,10.42,2.81
"Jun",-7.6,0.53,-9.77,-1.53,-5.91
"Jul",-11.18,0.95,-21.31,-26.51,-34.97
"Aug",-22.98,-17.99,-24.24,-27.15,-32.64
"Sep",10.79,2.13,11.08,-11.11,-12.35
"Oct",-4.6,-3.53,5.73,-14.57,-14.93
"Nov",3.8,1.42,-0.57,8.48,-0.48
"Dec",-8.11,-4.3,-4.11,-7.48,-7.28
