"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.67,1.34,3.1,4.01,5.94
"Feb",0.7,1.7,2.2,2.89,4.57
"Mar",1.02,0.87,1.41,2.84,4.28
"Apr",0.9,0.82,2.35,3.17,4.1
"May",1.95,1.37,2.08,3.94,4.63
"Jun",0.5,1.24,1.6,3.72,4.47
"Jul",2.02,1.63,2.26,5.22,6.42
"Aug",1.54,1.75,3.58,6.83,7.74
"Sep",1.16,1.55,3.12,5.94,7
"Oct",0.91,0.73,1.59,3.89,5.59
"Nov",1.28,2.44,2.12,4.81,5.56
"Dec",1.88,1.77,2.37,5.05,5.43
