"Category","SSP1-1.9","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP1-2.6","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP2-4.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP3-7.0","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)","SSP5-8.5","10-90<sup>th</sup> Percentile Range (low)","10-90<sup>th</sup> Percentile Range (high)"
"Jan",0.33,-0.92,2.27,1.17,0.17,2.88,2.01,0.17,3.34,2.69,0.92,3.78,3.13,1.61,4.21
"Feb",0.29,-1.1,1.02,1.22,0.34,2.75,1.82,0.02,3.66,2.55,1,3.37,3,1.5,4.13
"Mar",0.8,-0.01,1.55,1.6,0.15,2.57,1.88,0.69,3.14,2.29,1.42,3.16,2.82,1.55,4.2
"Apr",0.84,-0.57,2.49,1.46,-0.02,2.38,1.47,0.55,2.6,2.1,0.81,3.29,2.68,1.28,3.45
"May",1.38,-0.81,3.19,1.39,-0.36,2.79,1.65,0.49,3.17,2.32,1.06,4.26,2.84,1.22,4.37
"Jun",1.47,0.33,3.07,1.84,0.2,3.77,2.25,0.66,4.55,2.84,1.76,4.95,3.77,1.77,5.78
"Jul",1.41,0,3.23,2.2,0.25,4.27,3.02,1.11,5.81,4.02,1.92,6.73,4.87,2.36,8.29
"Aug",1.45,-1.14,2.65,2.26,0.08,4.7,3.03,0.61,5.67,4,1.41,6.92,5.01,1.97,8.42
"Sep",1.69,-1.2,2.66,1.89,-0.31,3.86,2.58,0.32,5.29,3.17,1.64,5.21,4.14,1.62,6.44
"Oct",1.54,-0.52,3.02,1.56,-0.57,3.04,2.35,-0.11,3.79,2.56,0.8,4.06,3.51,1.11,5.58
"Nov",1.1,0.21,2.32,1.19,0.22,2.81,2.13,0.88,3.38,2.32,1.22,3.75,3.19,1.46,4.69
"Dec",0.84,-0.73,2.19,1.45,-0.2,2.52,1.96,0.32,3.47,2.71,1.39,3.84,3.23,1.55,4.76
