"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-0.9,2.01,-2.77,-17.94,-3.96
"Feb",-14.57,-13.55,-11.13,-21.53,-10.8
"Mar",0.45,-2.63,2.62,-10.54,-5.93
"Apr",-3.56,-0.54,5.62,1.29,16.17
"May",7.35,-0.93,-8.8,16.64,4.26
"Jun",0.44,22.87,17.74,22.11,1.32
"Jul",24.57,18.1,33.47,6.55,23.83
"Aug",-38.58,-0.03,-21.46,-20.95,-6.85
"Sep",-11.01,-32.01,5.91,-4.55,-13.52
"Oct",-12.97,-10.28,-29.56,-37.94,-7.8
"Nov",-1.25,-5.37,-4.73,13.76,-18.03
"Dec",4.02,11.37,13.7,-5.54,1.99
