"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.27,1.61,1.57,2.57,2.91
"Feb",0.9,1.4,1.31,1.05,1.65
"Mar",0.91,1.51,2.25,2.33,2.96
"Apr",0.54,1.5,0.78,1.95,2.01
"May",0.84,0.55,0.77,1.56,1.79
"Jun",1.99,2.09,2.43,2.84,3.54
"Jul",1.39,1.4,1.89,2.54,4.07
"Aug",1.41,1.76,2.24,2.7,4.22
"Sep",2,1.2,2.77,2.98,3.29
"Oct",1.01,1.22,1.84,1.71,2.87
"Nov",-0.33,-0.41,1.42,0.6,1.89
"Dec",0.9,1.21,1.69,1.7,3.09
