"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-0.08,8.86,0.5,2.99,5.95
"Feb",-0.05,-0.89,-5.79,4.38,-6.51
"Mar",0.08,1.62,3,-1.66,2.41
"Apr",7.79,8.19,10.11,20.19,19.26
"May",7.68,5.73,-0.65,-2.35,3.47
"Jun",13.59,23.67,12.97,20.8,11.52
"Jul",4.85,15.16,7.91,26.47,9.93
"Aug",19.26,21.59,17.68,4.54,14.34
"Sep",9.68,-7.8,11.1,1.19,3.76
"Oct",14.01,12.17,27.73,9.34,17.77
"Nov",-17.8,7.27,-4.9,2.51,6.51
"Dec",15.43,19.61,1.63,20.57,14.23
