"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",0.11,0.72,1.82,1.35,2.09
"Feb",0.75,-0.08,0.76,0.75,0.34
"Mar",0.97,0.51,1.6,2.24,1.45
"Apr",0.43,0.95,0.13,1.65,0.94
"May",-0.07,0.88,0.61,0.7,1.23
"Jun",1.75,1.75,1.58,1.78,2.12
"Jul",0.78,1.38,1.79,2.17,2.23
"Aug",1.41,2,1.54,1.92,2.3
"Sep",1.44,2.44,1.93,2.18,2.66
"Oct",0.41,0.44,1.02,1.12,1.59
"Nov",-0.22,-0.14,-0.13,0.63,1.09
"Dec",1.09,1.2,1.04,1.98,1.02
