"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-1.07,-0.69,0.76,2.31,2.54
"Feb",-0.95,0.07,1.46,2.49,3.37
"Mar",0.11,0.39,1.93,3.16,3.97
"Apr",0.3,0.21,1.06,2.04,3.02
"May",-0.1,0.45,1.61,2.09,2.95
"Jun",1.7,1.78,3.25,3.3,4.71
"Jul",0.6,1.19,2.11,3.59,4.24
"Aug",1.03,1.76,2.49,3.95,4.9
"Sep",0.39,1.36,2.08,3.29,4.17
"Oct",0.61,0.53,1.47,3.23,2.92
"Nov",-0.07,1.31,1.14,2.54,3.34
"Dec",-0.91,-0.6,1.47,2.15,2.61
