"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.67,3.11,2.25,4.39,5.76
"Feb",3.13,4.02,3.49,4.58,5.83
"Mar",2.56,3.68,4.32,5.07,6
"Apr",2.33,2.84,2.57,3.76,4.51
"May",2.67,2.49,3.33,4.15,4.89
"Jun",3.75,3.76,4.73,5.4,6.91
"Jul",2.71,3.22,4.73,6.31,8.54
"Aug",3.21,3.6,4.78,6.52,8.17
"Sep",2.63,2.73,4.41,5.63,7.07
"Oct",2.68,2.73,3.6,4.86,5.78
"Nov",2.36,3.36,4.01,4.6,5.52
"Dec",3.17,3.66,4.64,5.83,6.46
