"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-0.17,0.38,-2.86,16.21,2.04
"Feb",-0.29,6.78,0.83,3.54,0.24
"Mar",-2.64,2.68,3.77,-11.43,2.44
"Apr",7.09,20.55,33.38,17.85,26.66
"May",7.94,6.72,14.68,5.08,5.79
"Jun",18.58,24.66,29.57,27.12,30.96
"Jul",-2.74,-2.86,3.44,0.58,7.18
"Aug",20.7,17.01,12.6,7.2,8.44
"Sep",19.37,4.35,18.55,11.68,0.27
"Oct",-5.66,4.96,19.81,24.96,8.37
"Nov",4.6,5.15,-3.27,-7.96,-5.18
"Dec",0.52,12.74,14.38,8.65,18.04
