"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.08,2.4,3.18,5.43,7.28
"Feb",-0.05,2.16,3.61,4.73,5.47
"Mar",-0.2,2.36,2.23,3.28,4.8
"Apr",0.71,1.14,1.38,3.24,4.51
"May",1.19,1.7,3,4.6,6.57
"Jun",1.52,1.88,3.74,5.61,8.07
"Jul",1,2.02,3.45,5.69,7.86
"Aug",2.11,2.67,4.2,6.66,9.8
"Sep",0.66,2.24,3.82,5.42,7.12
"Oct",1.72,2.41,3.99,5.98,7.26
"Nov",0.42,0.91,3.39,4.29,6.61
"Dec",0.26,2.02,3.61,3.95,5.95
