"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-0.04,0.79,2.28,1.52,1.55
"Feb",0.21,-0.98,1.36,0.58,0.51
"Mar",1.47,1.37,1.79,1.98,2.99
"Apr",1.12,1.4,2.31,1.94,2.3
"May",0.67,1.13,1.25,2.54,2.18
"Jun",0.37,1.09,0.8,2.34,2.36
"Jul",-0.03,1.08,0.96,1.86,1.71
"Aug",0.29,1.24,1.03,1.26,2.62
"Sep",0.3,0.92,1.17,2.1,2.18
"Oct",0.15,0.1,1.96,2.09,2.66
"Nov",1.5,0.95,2.18,1.67,3.17
"Dec",0.24,1.11,1.48,1.95,3.45
