"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.62,2.39,3.85,5.35,6.57
"Feb",1.85,2.42,3.24,5.26,6.12
"Mar",0.78,2.37,3.92,4.37,6.13
"Apr",1.17,1.51,3.1,4.13,5.36
"May",0.86,0.95,2,4.21,4.97
"Jun",0.77,1.55,2.86,4.6,6.16
"Jul",0.92,2.03,3.3,6.4,7.81
"Aug",1.76,3.06,4.56,7.59,8.73
"Sep",2.09,2.46,4.16,6.43,8.33
"Oct",1.55,2.03,3.33,5.76,7.54
"Nov",1.76,2.13,3.57,5.71,6.75
"Dec",2.23,2.62,4.5,5.45,6.92
