"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",0.4,0.19,1.54,2.41,2.26
"Feb",0.03,0.53,0.98,1.32,1.73
"Mar",1.64,1.58,2.07,1.92,2.25
"Apr",1.12,1.24,1.97,1.76,2.56
"May",1.54,1.56,1.18,2.7,2.57
"Jun",1.37,1.71,1.89,2.81,2.62
"Jul",0.84,1.27,2.06,2.57,2.75
"Aug",1.04,1.49,1.82,2.52,3.17
"Sep",0.6,0.73,1.24,2.21,1.79
"Oct",0.39,1.34,1.67,2.27,2.02
"Nov",0.2,1.01,1.41,2,2.91
"Dec",0.74,1.11,1.23,2.66,2.38
