"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",3.82,15.14,-1.78,1.63,-4.13
"Feb",4.41,8.28,13.02,-1.37,13.73
"Mar",5.45,-4.12,-2.2,2.85,-7.83
"Apr",3.54,10.1,-7.76,11.25,-1.98
"May",-13.77,-18.73,-16.01,-0.93,-27.1
"Jun",3.5,6.09,5.1,-3.24,7.43
"Jul",-0.38,-8.41,-3.86,0.43,2.39
"Aug",-2.87,-8.61,2.12,-1.74,-13.33
"Sep",-7.31,-4.81,0.14,13.96,-13.92
"Oct",10.63,8.35,17.57,-1.12,5.55
"Nov",0.45,-2.89,2.72,-0.75,1.95
"Dec",0.24,-3.68,-9.03,-7.21,5.6
