"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",15.03,9.95,11.23,22.52,27.24
"Feb",3.12,11.36,8.09,9.37,21.3
"Mar",16.64,17.59,1.52,9.56,16.21
"Apr",4.59,18.58,-0.16,-0.9,14.5
"May",15.56,3.42,14.16,3.63,10.68
"Jun",12.3,16.38,28.06,15.14,22.15
"Jul",-1.72,5.85,16.47,3.25,18.16
"Aug",-2.77,-5.9,-3.13,-0.41,11.08
"Sep",-3.61,-7.09,-8.06,2.36,5.46
"Oct",12.47,-6.75,2.83,5.92,-10.63
"Nov",2.17,5.15,9.31,4.78,13.34
"Dec",20.8,-1.68,9.65,9.8,14.81
