"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",6.03,13.98,-6.85,6.8,11.55
"Feb",7.33,4.28,8.73,9.4,9.46
"Mar",-1.73,-10.59,0.76,-4.59,-7.76
"Apr",-6.02,1.04,-2.85,-7.87,-10.65
"May",2.58,-23.23,-14.07,-23.56,-11.91
"Jun",0.23,9.28,-1.64,-3.34,7.91
"Jul",-3.99,-9.5,1.01,-5.63,-18.65
"Aug",-3.67,-4.95,-1.74,14.11,-3.12
"Sep",-11.19,-4.43,5.24,-0.6,-3.32
"Oct",3.71,10.06,4.53,3.18,-4.23
"Nov",-3.57,6.79,9.4,6.28,5.4
"Dec",-6.28,-12.1,-4.89,5.69,-4.55
