"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-0.03,1.35,2.1,4.07,-3.3
"Feb",-6.46,-1.57,3.44,-0.7,1.31
"Mar",9.2,-3.39,13.29,-5.15,6.11
"Apr",5.18,-0.48,-3.03,-7.15,-1.53
"May",-2.38,-4.86,-0.05,0.16,5.42
"Jun",4.17,10.17,4.17,-2.53,-8.28
"Jul",9.64,2.55,11.29,0.37,0.2
"Aug",5.5,-7.97,-11.77,3.39,15.27
"Sep",11.35,13.63,23.18,27.77,11.98
"Oct",-2.05,-5.82,2.4,9.47,13.93
"Nov",-0.2,-3.62,-6.6,6.6,7.16
"Dec",11.4,9.47,12.85,4.36,8.13
