"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.14,1.65,2.49,3.8,4.35
"Feb",0.04,2.03,2.08,3.17,3.5
"Mar",0.93,1.54,2.32,1.96,2.84
"Apr",0.51,0.81,1.83,1.24,2.77
"May",0.77,1.9,2.66,2.88,4.42
"Jun",1.55,2.65,3.46,3.52,5.79
"Jul",1.05,1.89,3.21,3.92,6.03
"Aug",1.63,2.69,3.97,5.45,6.55
"Sep",0.91,1.88,2.92,3.7,4.39
"Oct",2.33,2.38,4.02,3.12,5.46
"Nov",0.75,1.36,2.18,2.71,4.14
"Dec",1.13,1.91,2.18,3.87,4.44
