"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",-0.38,-0.45,-0.82,-0.15,0.42
"Feb",-0.53,0.44,0.25,1.05,-0.39
"Mar",1.11,1.06,1.41,1.4,1.76
"Apr",2.04,1.11,0.77,0.57,1.54
"May",1.31,1.05,1.2,0.89,1.02
"Jun",2.02,1.78,1.43,1.7,2.3
"Jul",1.5,1.87,1.47,0.98,1.83
"Aug",1.95,1.81,1.27,1.34,2.06
"Sep",1.42,0.99,1.24,1.15,1.03
"Oct",1.25,1.19,1.53,0.61,1.79
"Nov",0.99,1,1.07,0.62,1.28
"Dec",0.72,0.13,0.22,0.18,1.34
