"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",1.04,2.35,2.65,2.14,3.09
"Feb",0.24,0.55,-0.47,1.37,1.4
"Mar",1.45,1.43,1.6,1.53,2.17
"Apr",0.69,1.18,0.34,1.01,1.17
"May",1.94,1.71,2.11,1.52,2.24
"Jun",1.21,0.99,1.83,1.51,1.94
"Jul",1.56,1.84,1.92,1.62,1.84
"Aug",1.74,1.62,1.55,1.79,2.29
"Sep",0.84,0.84,1.14,1.04,1.39
"Oct",1.05,0.94,0.91,1.77,1.77
"Nov",0.6,0.65,0.01,0.79,0.95
"Dec",0.4,0.51,-0.33,0.75,1.28
