"Category","SSP1-1.9","SSP1-2.6","SSP2-4.5","SSP3-7.0","SSP5-8.5"
"Jan",10.43,11.25,3.03,14.51,8.09
"Feb",-0.91,-8.24,1.65,-1.9,2.03
"Mar",14.03,5.96,8.55,2.6,-4.32
"Apr",-13.67,-4.25,-3.47,-15.79,-10.97
"May",1.41,3.11,1.94,5.97,4.97
"Jun",-1.3,1.99,-3.95,-9.47,-1.44
"Jul",3.06,-13.19,-6.8,-3.95,-6.36
"Aug",-10.59,-3.21,-14.06,1.69,-5.57
"Sep",-4.37,2.32,6.33,4.71,-7.31
"Oct",-14.77,-12.42,-8.86,6.83,6.24
"Nov",13.77,0.16,23.91,15.45,-1.75
"Dec",12.06,2.15,12.73,17.68,15.48
